Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,8.694999694824219,9.557499885559082,8.682499885559082,9.392499923706055,9.113275527954102,135832800
2019-01-03,8.994999885559082,9.102499961853027,8.407500267028809,8.482500076293945,8.230329513549805,165255200
2019-01-04,8.887499809265137,9.6899995803833,8.792499542236328,9.567500114440918,9.283074378967285,136482000
2019-01-07,9.617500305175781,10.037500381469727,9.532500267028809,9.8725004196167,9.579007148742676,106553200
2019-01-08,10.172499656677246,10.27750015258789,9.725000381469727,10.157500267028809,9.855534553527832,105811200
2019-01-09,10.279999732971191,10.542499542236328,10.149999618530273,10.397500038146973,10.088398933410645,89049200
2019-01-10,10.15999984741211,10.507499694824219,9.989999771118164,10.4975004196167,10.185425758361816,87565600
2019-01-11,10.3100004196167,10.407500267028809,10.202500343322754,10.3725004196167,10.064142227172852,60402400
2019-01-14,10.107500076293945,10.234999656677246,9.96500015258789,10.102499961853027,9.802168846130371,55691600
2019-01-15,10.234999656677246,10.729999542236328,10.21500015258789,10.662500381469727,10.345520973205566,72562800
2019-01-16,10.742500305175781,10.96500015258789,10.670000076293945,10.677499771118164,10.360074996948242,67946400
2019-01-17,10.574999809265137,11.067500114440918,10.515000343322754,10.927499771118164,10.602643013000488,71020000
2019-01-18,11.180000305175781,11.40250015258789,10.962499618530273,11.227499961853027,10.89372444152832,83454400
2019-01-22,11.0024995803833,11.020000457763672,10.329999923706055,10.607500076293945,10.292156219482422,90867200
2019-01-23,10.737500190734863,10.875,10.255000114440918,10.617500305175781,10.301859855651855,83046800
2019-01-24,10.704999923706055,10.854999542236328,10.585000038146973,10.805000305175781,10.483785629272461,64057600
2019-01-25,11.0649995803833,11.292499542236328,10.954999923706055,11.1899995803833,10.857337951660156,69756800
2019-01-28,10.7524995803833,10.77750015258789,10.5024995803833,10.77750015258789,10.45710277557373,70179600
2019-01-29,10.797499656677246,10.802499771118164,10.357500076293945,10.47249984741211,10.161169052124023,61265200
2019-01-30,10.824999809265137,11.380000114440918,10.72249984741211,11.257499694824219,10.922833442687988,87912000
2019-01-31,11.454999923706055,11.930000305175781,11.420000076293945,11.7524995803833,11.403115272521973,80287600
2019-02-01,11.585000038146973,11.854999542236328,11.515000343322754,11.602499961853027,11.257574081420898,70780800
2019-02-04,11.617500305175781,12.039999961853027,11.585000038146973,12.02750015258789,11.669942855834961,55488400
2019-02-05,12.092499732971191,12.399999618530273,12.074999809265137,12.345000267028809,11.978002548217773,64458400
2019-02-06,12.369999885559082,12.432499885559082,12.079999923706055,12.2475004196167,11.883401870727539,72710000
2019-02-07,11.917499542236328,12.007499694824219,11.47249984741211,11.7475004196167,11.398266792297363,104896800
2019-02-08,11.427499771118164,11.8125,11.399999618530273,11.807499885559082,11.456480979919434,72361200
2019-02-11,11.942500114440918,12.02750015258789,11.6899995803833,11.779999732971191,11.42979907989502,60598400
2019-02-12,12.032500267028809,12.34749984741211,11.97249984741211,12.289999961853027,11.924637794494629,64113200
2019-02-13,12.46500015258789,12.569999694824219,12.279999732971191,12.3149995803833,11.948894500732422,63804800
2019-02-14,12.175000190734863,12.487500190734863,12.055000305175781,12.359999656677246,11.992557525634766,76684800
2019-02-15,12.6274995803833,12.630000114440918,12.34000015258789,12.507499694824219,12.135671615600586,71248000
2019-02-19,12.390000343322754,12.697500228881836,12.390000343322754,12.582500457763672,12.208444595336914,51786400
2019-02-20,12.612500190734863,12.757499694824219,12.3725004196167,12.572500228881836,12.198738098144531,85532800
2019-02-21,12.467499732971191,12.572500228881836,12.232500076293945,12.430000305175781,12.060476303100586,64246800
2019-02-22,12.515000343322754,12.729999542236328,12.492500305175781,12.699999809265137,12.322449684143066,59818800
2019-02-25,13.0024995803833,13.095000267028809,12.8149995803833,12.84000015258789,12.458288192749023,62051200
2019-02-26,12.739999771118164,13.0,12.680000305175781,12.880000114440918,12.497098922729492,52678400
2019-02-27,12.707500457763672,12.895000457763672,12.447500228881836,12.84000015258789,12.458288192749023,57922000
2019-02-28,12.727499961853027,12.895000457763672,12.649999618530273,12.760000228881836,12.380667686462402,46031600
2019-03-01,13.029999732971191,13.072500228881836,12.755000114440918,13.015000343322754,12.628085136413574,70078400
2019-03-04,13.242500305175781,13.332500457763672,12.587499618530273,13.017499923706055,12.630511283874512,106544000
2019-03-05,13.045000076293945,13.170000076293945,12.854999542236328,13.050000190734863,12.6620454788208,50174400
2019-03-06,13.082500457763672,13.095000267028809,12.765000343322754,12.824999809265137,12.443733215332031,61734400
2019-03-07,12.720000267028809,12.734999656677246,12.207500457763672,12.357500076293945,11.990132331848145,84653200
2019-03-08,11.9350004196167,12.305000305175781,11.890000343322754,12.287500381469727,11.922213554382324,87468400
2019-03-11,12.432499885559082,13.077500343322754,12.432499885559082,13.055000305175781,12.66689682006836,64234000
2019-03-12,13.157500267028809,13.367500305175781,13.0625,13.267499923706055,12.873077392578125,75803200
2019-03-13,13.467499732971191,13.772500038146973,13.414999961853027,13.555000305175781,13.152030944824219,72564800
2019-03-14,13.579999923706055,13.630000114440918,13.475000381469727,13.494999885559082,13.093815803527832,47721600
2019-03-15,13.65250015258789,13.984999656677246,13.614999771118164,13.829999923706055,13.418855667114258,69422800
